event_title,total_cases,high_severity_cases,high_severity_rate
 Caught or wedged between objects  nonrunning,507,429.0,84.62
Struck against moving part of machinery or equipment,2235,1822.0,81.52
Struck by or caught in swinging door or gate,568,439.0,77.29
Compressed or pinched by shifting objects or equipment,4977,3762.0,75.59
" Struck by running powered equipment  during maintenance, cleaning, testing",1537,1153.0,75.02
"Caught in or compressed by equipment or objects, unspecified",2143,1575.0,73.5
" Caught, entangled in running powered equipment  normal operation",1289,946.0,73.39
Caught in running equipment or machinery during regular operation,6687,4879.0,72.96
"Caught in running equipment or machinery during maintenance, cleaning ",5269,3814.0,72.39
"Caught in running equipment or machinery, n.e.c.",717,516.0,71.97
" Struck by door, gate, window",182,125.0,68.68
 Struck by running powered equipment  n.e.c.,386,264.0,68.39
Entangled in other object or equipment,182,121.0,66.48
"Caught in running equipment or machinery, unspecified",1275,835.0,65.49
 Struck by running powered equipment  unspecified,273,178.0,65.2
