event_title,cases
Caught in running equipment or machinery during regular operation,6687
"Other fall to lower level, unspecified",5913
"Caught in running equipment or machinery during maintenance, cleaning ",5269
Compressed or pinched by shifting objects or equipment,4977
Fall on same level due to slipping ,3659
Other fall to lower level less than 6 feet,3308
Fall on same level due to tripping over an object ,2646
Struck against moving part of machinery or equipment,2235
Exposure to environmental heat,2196
"Caught in or compressed by equipment or objects, unspecified",2143
Injured by slipping or swinging object held by injured worker,2122
"Struck by falling object or equipment, n.e.c.",1935
Struck by object falling from vehicle or machinery-other than vehicle part,1849
 Fall on same level due to slip or trip,1773
Other fall to lower level 6 to 10 feet,1713
